hola|¡Hola! ¿En qué puedo ayudarte hoy?
tyler ha trabajado con otros artistas| Sí, incluyendo Frank Ocean, Kali Uchis, A$AP Rocky, Pharrell Williams, y más.
que destaca de las letras de tyler, the creator| Sus letras evolucionaron de controversia y humor negro a introspección, identidad y amor.
tyler, the creator disena ropa tambien| Sí, tiene su propia marca de moda llamada *Golf Wang* y otra línea de lujo, *Golf Le Fleur*.

quien es ariana grande| Ariana Grande es una cantante y actriz estadounidense conocida por su poderosa voz, estilo pop-R&B y presencia escénica.
cual es el nombre completo de ariana grande| Ariana Grande-Butera.
donde comenzo la carrera de ariana| Comenzó como actriz en Broadway y luego en la serie de Nickelodeon *Victorious* antes de lanzar su carrera musical.
cuales son los albumes mas exitosos de ariana grande| “Yours Truly”, “My Everything”, “Dangerous Woman”, “Sweetener”, “Thank U, Next” y “Positions”.
que genero musical canta ariana grande| Principalmente pop y R&B, con elementos de trap y soul.
cuales son las canciones mas famosas de ariana grande| “Into You”, “No Tears Left to Cry”, “God is a Woman”, “Thank U, Next”, “7 Rings”.
de que trata la cancion 7 rings| Es una oda a la independencia financiera y la amistad, inspirada por una salida de compras tras una ruptura.
ha hecho colaboraciones ariana grande| Sí, con artistas como The Weeknd, Nicki Minaj, Lady Gaga, Justin Bieber y Mac Miller.
ha ganado premios importantes ariana grande| Sí, incluyendo Grammy, Billboard Music Awards, American Music Awards, y más.
de que habla dangerous woman| Sobre empoderamiento femenino, sensualidad y la confianza en uno mismo.
que temas trata thank u, next| Superación emocional, madurez y gratitud hacia relaciones pasadas.

quienes son twenty one pilots| Twenty One Pilots es un dúo musical estadounidense formado por Tyler Joseph y Josh Dun, conocido por su estilo ecléctico que mezcla pop, rock, rap y electrónica.
cuales son los albumes mas conocidos de twenty one pilots| “Vessel”, “Blurryface”, “Trench”, “Scaled and Icy”, y el nuevo álbum “Clancy”.
de que trata blurryface| Es un álbum conceptual sobre la inseguridad y la lucha interna, personificada en el personaje ficticio Blurryface.
que canciones famosas tiene twenty one pilots| “Stressed Out”, “Ride”, “Heathens”, “Car Radio”, “Chlorine”, “Level of Concern”.
de que habla heathens| Fue creada para la película *Suicide Squad* y habla sobre confiar en personas que parecen peligrosas o diferentes.
twenty one pilots utilizan simbolismo visual| Sí, usan colores, máscaras, personajes y mundos ficticios como DEMA y los Banditos para representar luchas internas.
de que trata trench| Narra una historia de escape y resistencia en una ciudad distópica, simbolizando el poder de la voluntad frente a la opresión mental.
que estilo musical tienen twenty one pilots| Fusionan rock alternativo, rap, reggae, pop, electrónica y elementos industriales.
han hecho giras mundiales twenty one pilots| Sí, incluyendo la "Bandito Tour" y la gira “Takeover Tour”.
han ganado premios twenty one pilots| Sí, han ganado Grammy, AMA, Billboard Music Awards, entre otros.
de que trata car radio| Expresa el vacío y ansiedad que se siente al quedarse solo con los propios pensamientos en silencio.

quien es linkin park| Linkin Park fue una banda estadounidense de rock alternativo y nu metal, reconocida por su fusión de géneros y letras emotivas.
quien fue el vocalista principal de linkin park| Chester Bennington fue el vocalista principal, conocido por su voz poderosa y expresiva.
cuales son los albumes mas importantes de linkin park| “Hybrid Theory”, “Meteora”, “Minutes to Midnight”, “A Thousand Suns”, “Living Things”, “The Hunting Party”, “One More Light”.
de que trata in the end| La canción trata sobre la inevitabilidad del fracaso pese al esfuerzo, con una atmósfera melancólica.
que significa numb| Expresa el dolor de no poder cumplir las expectativas de otros y perder la identidad propia.
que estilo musical tiene linkin park| Mezclan nu metal, rap rock, electrónica, alternativo y más recientemente pop rock.
con quien colaboro linkin park en collision course| Con Jay-Z, en un exitoso EP de mashups entre ambos artistas.
que impacto tuvo hybrid theory| Es uno de los álbumes debut más vendidos del siglo XXI, definió el sonido nu metal de principios de los 2000.
que ocurrio con chester bennington| Falleció en 2017 por suicidio, lo cual impactó profundamente a fans y a la industria musical.
linkin park ha continuado despues de chester| La banda ha estado en pausa desde su muerte, pero ha lanzado material conmemorativo y versiones remasterizadas.

quien es limp bizkit| Limp Bizkit es una banda estadounidense de nu metal conocida por su energía agresiva, letras irreverentes y fusión de rap y rock.
quien es el lider de limp bizkit| Fred Durst, vocalista y figura principal del grupo.
cuales son sus albumes mas conocidos de limp bizkit| “Three Dollar Bill, Y'all$”, “Significant Other”, “Chocolate Starfish and the Hot Dog Flavored Water”, “Results May Vary”, “Gold Cobra”, “Still Sucks”.
de que trata break stuff| Habla de un día tan malo que cualquier cosa puede desatar la rabia; es un himno de catarsis agresiva.
que estilo musical tiene limp bizkit| Fusionan nu metal, rap metal, funk, punk y elementos electrónicos.
con que banda rivalizo limp bizkit| Tuvo conflictos mediáticos con grupos como Slipknot y Eminem en los años 2000.
quien es el guitarrista conocido por su imagen extrana| Wes Borland, famoso por su maquillaje, disfraces y enfoque experimental en la guitarra.
limp bizkit ha tenido momentos polemicos| Sí, como su actuación en Woodstock '99, donde fueron criticados por incitar disturbios.
limp bizkit todavia estan activos| Sí, siguen presentándose en vivo y lanzaron el álbum “Still Sucks” en 2021.
que significa la cancion my way| Habla sobre autoafirmación y romper con quienes quieren controlarte.

quienes son gorillaz| Gorillaz es una banda virtual británica creada por Damon Albarn y Jamie Hewlett, compuesta por personajes animados.
quien compone la musica de gorillaz| Principalmente Damon Albarn, quien también interpreta al personaje 2-D.
quienes son los personajes de gorillaz |2-D (voz), Murdoc (bajo), Noodle (guitarra) y Russel (batería).
que genero musical hace gorillaz| Una mezcla de rock alternativo, electrónica, hip hop, trip hop, reggae y pop experimental.
cuales son los albumes mas conocidos de gorillaz| “Gorillaz”, “Demon Days”, “Plastic Beach”, “Humanz”, “The Now Now”, “Cracker Island”.
de que trata feel good inc.| Una crítica a la cultura del entretenimiento superficial y la búsqueda de placer instantáneo.
gorillaz ha colaborado con otros artistas| Sí, con De La Soul, Snoop Dogg, Elton John, Robert Smith, Bad Bunny, Kali Uchis y más.
que simboliza plastic beach| Una crítica ambiental al consumismo y la contaminación del planeta, representada por una isla hecha de plástico.
como son los conciertos de gorillaz| Usan visuales animados, pantallas gigantes y músicos en vivo, creando una experiencia multimedia única.
que innovaciones introdujo gorillaz| Fue la primera banda virtual de éxito global, fusionando música, animación y narrativas visuales.

quienes son imagine dragons| Imagine Dragons es una banda de rock alternativo y pop rock estadounidense, conocida por sus éxitos globales y estilo épico.
cuales son los miembros de imagine dragons| Los miembros principales son Dan Reynolds (vocalista), Wayne Sermon (guitarrista), Ben McKee (bajista) y Daniel Platzman (baterista).
cuales son los albumes mas importantes de imagine dragons| “Night Visions”, “Smoke + Mirrors”, “Evolve”, “Origins”, y “Mercury - Act 1”.
de que trata la cancion radioactive| “Radioactive” es una canción sobre la esperanza, la transformación y el renacimiento en un mundo apocalíptico, con un enfoque de superación personal.
que significa la cancion demons| “Demons” habla sobre las luchas internas, las inseguridades y la aceptación de las propias debilidades.
cual es el estilo musical de imagine dragons| La banda mezcla rock alternativo, indie rock, pop, electrónica y elementos de música experimental.
imagine dragons han ganado premios importantes| Sí, han ganado premios como el Grammy por Mejor Canción de Rock y múltiples Billboard Music Awards.
que inspira la cancion believer| “Believer” trata sobre el poder del sufrimiento y cómo este puede ser un motor de crecimiento personal y motivación.
de que trata la cancion thunder| “Thunder” habla sobre la ambición, la lucha por alcanzar los sueños y la determinación frente a los obstáculos.
como se caracteriza la estetica de imagine dragons| Su estética es épica y cinematográfica, con un enfoque visual lleno de energía y simbolismo en sus videos y presentaciones.

Dime las canciones de Linkin Park
Muestrame canciones de Imagine Dragons
Temas que tiene The Weeknd
Muestrame canciones de Ariana Grande
Dime las canciones de Gorillaz
Muestrame canciones de Limp Bizkit
Muestrame canciones de Twenty One Pilots 
Muestrame canciones de Lady Gaga
Muestrame canciones de Tyler, the creator
Muestrame canciones de Lana Del Rey 

como uso este chatbot| Puedes escribir preguntas en lenguaje natural como “Dime canciones de Lady Gaga” o “¿Qué canciones tiene Linkin Park?”. El chatbot responderá según lo que sabe o buscará en la base de datos.
que puede hacer este chatbot| Este chatbot puede responder preguntas sobre artistas, canciones, géneros musicales, y también mostrar información de una base de datos conectada.
este chatbot funciona con base de datos| Sí, el chatbot está conectado a una base de datos MySQL llamada “musica” que contiene canciones de varios artistas de géneros pop y rock.
donde guarda su conocimiento este chatbot| Utiliza un archivo de texto llamado “conocimiento.txt” para responder preguntas fijas, y una base de datos MySQL para las preguntas dinámicas sobre artistas y canciones.
puedo escribir cualquier tipo de pregunta| Por ahora, el chatbot solo entiende preguntas relacionadas con artistas, canciones y algunas frases escritas en su archivo de conocimiento.
este chatbot es inteligente| Tiene una inteligencia básica: puede entender algunas expresiones naturales y buscar datos en su base. No aprende por sí solo, pero se puede mejorar agregando más frases o funciones.
puede aprender nuevas preguntas| Actualmente no aprende automáticamente, pero puedes editar el archivo “conocimiento.txt” para agregar nuevas preguntas y respuestas.
como reconoce al artista en la pregunta|Usa expresiones regulares para identificar el nombre del artista cuando preguntas por canciones o temas.
que pasa si no entiende una pregunta| Si no reconoce la estructura o el contenido de la pregunta, mostrará un mensaje diciendo que no sabe cómo responder.

Hola|¡Hola! ¿En qué puedo ayudarte hoy?
¿Quién eres?|Hola, soy Cheety, una IA básica creada para responder preguntas sobre artistas y canciones musicales.
¿Cómo te llamas?|Me llamo Cheety, tu asistente musical.
¿Qué puedes hacer?|Puedo brindarte información sobre artistas musicales y responder preguntas relacionadas con ellos.

¿Quién es Lady Gaga?|Lady Gaga es una cantante, compositora y actriz estadounidense conocida por su estilo extravagante, poderoso talento vocal y actitud vanguardista.
¿Cuál es el nombre real de Lady Gaga?|Su nombre real es Stefani Joanne Angelina Germanotta.
¿De qué género musical es Lady Gaga?|Lady Gaga ha trabajado principalmente en géneros como pop, dance, jazz, electrónica y rock.
¿Cuáles son los álbumes más famosos de Lady Gaga?|“The Fame”, “Born This Way”, “Artpop”, “Joanne” y “Chromatica”.
¿Qué significa la canción Bad Romance?|“Bad Romance” habla sobre la búsqueda de un amor apasionado pero destructivo, con una mezcla de deseo y desesperación.
¿Lady Gaga ha sido reconocida por su actuación?|Sí, ganó un Oscar por la canción “Shallow” de la película *A Star Is Born*.
¿De qué trata Born This Way?|La canción “Born This Way” es un himno de empoderamiento, autoaceptación y lucha por la igualdad.
¿Ha colaborado Lady Gaga con otros artistas?|Sí, ha colaborado con artistas como Beyoncé, Tony Bennett, Bradley Cooper, R. Kelly y más.
¿Lady Gaga tiene alguna influencia musical?|Sí, cita a artistas como David Bowie, Queen, Madonna, y Michael Jackson como sus principales influencias.
¿Lady Gaga también es activista?|Sí, Lady Gaga es conocida por su activismo en favor de los derechos de la comunidad LGBTQ+, el feminismo y la lucha contra el acoso.
¿Qué significa la canción Shallow?|“Shallow” trata sobre salir de las superficialidades y encontrar un amor profundo y real. Fue un éxito de la película *A Star Is Born*.

¿Quién es Lana del Rey?|Lana del Rey es una cantante y compositora estadounidense conocida por su estilo nostálgico y cinematográfico en canciones como "Summertime Sadness" y "Born to Die".
¿Cuál es el verdadero nombre de Lana del Rey?|Su nombre real es Elizabeth Woolridge Grant.
¿Cuáles son los álbumes de Lana del Rey?|Algunos de sus álbumes son "Born to Die", "Ultraviolence", "Honeymoon", "Lust for Life", "Norman Fucking Rockwell!" y "Did You Know That There's a Tunnel Under Ocean Blvd".
¿Qué estilo musical tiene Lana del Rey?|Su música combina dream pop, indie pop, baroque pop y rock alternativo.
¿Qué inspira las canciones de Lana del Rey?|Sus letras suelen tratar sobre amor trágico, glamour vintage, melancolía, y la cultura estadounidense.
¿Qué significa Summertime Sadness?|“Summertime Sadness” trata sobre el contraste entre la belleza del verano y la tristeza interior provocada por una pérdida emocional.
¿Ha trabajado Lana del Rey con otros artistas?|Sí, ha colaborado con The Weeknd, A$AP Rocky, Miley Cyrus, Ariana Grande y más.
¿De qué trata Young and Beautiful?|Es una reflexión sobre el envejecimiento, la belleza efímera y el temor al abandono.
¿Cómo ha evolucionado el estilo de Lana Del Rey?|De un enfoque más glamuroso y triste en sus inicios, ha pasado a una narrativa más madura, introspectiva y lírica en discos como "Norman Fucking Rockwell!".
¿Lana Del Rey ha sido nominada a premios importantes?|Sí, ha sido nominada a varios premios Grammy y reconocida por su impacto en la música alternativa.

¿Quién es The Weeknd?|The Weeknd es un cantante, compositor y productor canadiense conocido por su estilo R&B alternativo, letras oscuras y producciones atmosféricas.
¿Cuál es el nombre real de The Weeknd?|Su nombre real es Abel Makkonen Tesfaye.
¿Cuáles son los álbumes más importantes de The Weekend?|Incluye "Trilogy", "Beauty Behind the Madness", "Starboy", "After Hours" y "Dawn FM".
¿Con qué géneros musicales trabaja The Weeknd?|Principalmente R&B, pop, synthwave, y soul alternativo.
¿De qué trata Starboy?|Habla de fama, exceso y reinvención personal, acompañado por una producción de Daft Punk.
¿Qué expresa la canción Save Your Tears?|La canción aborda el arrepentimiento por una ruptura y la incapacidad de cambiar el pasado.
¿Quiénes han colaborado con The Weeknd?|Ha trabajado con Daft Punk, Ariana Grande, Lana Del Rey, Travis Scott, Kendrick Lamar, Rosalía, y otros.
¿Cómo es el estilo visual de After Hours?|Inspirado en el cine neo-noir, presenta a The Weeknd con un traje rojo y heridas faciales, simbolizando decadencia y trauma.
¿The Weeknd ha ganado premios importantes?|Sí, ha ganado múltiples American Music Awards, Billboard Music Awards y un Oscar por "Earned It" fue nominado.
¿De qué trata la canción The Hills?|La canción explora los excesos, la doble vida y la oscuridad detrás de la fama y las relaciones superficiales.
¿The Weekend participó en el show de medio tiempo del Super Bowl?|Sí, en 2021, con una presentación cinematográfica basada en su era "After Hours".


¿Quién es Tyler, The Creator?|Tyler, The Creator es un rapero, productor y diseñador estadounidense conocido por su estilo experimental, creativo y provocador.
¿Cuál es el nombre real de Tyler, The Creator?|Su nombre completo es Tyler Gregory Okonma.
¿A qué colectivo pertenece Tyler, The Creator?|Es fundador del colectivo de hip hop alternativo Odd Future (OFWGKTA).
¿Cuáles son los álbumes más conocidos de Tyler, The Creator?|Sus álbumes más destacados incluyen "Goblin", "Wolf", "Cherry Bomb", "Flower Boy", "IGOR" y "Call Me If You Get Lost".
¿Qué estilo musical tiene Tyler?|Tyler combina hip hop alternativo, jazz, soul, R&B, electrónica y psicodelia.
¿De qué trata IGOR?|“IGOR” es un álbum conceptual sobre el amor no correspondido y la transformación emocional, mezclando rap con soul y synth-pop.
¿Qué premios ha ganado Tyler, the creator?|Ha ganado Grammys por Mejor Álbum de Rap con “IGOR” y “Call Me If You Get Lost”.
¿Tyler ha trabajado con otros artistas?|Sí, incluyendo Frank Ocean, Kali Uchis, A$AP Rocky, Pharrell Williams, y más.
¿Qué destaca de las letras de Tyler, The Creator?|Sus letras evolucionaron de controversia y humor negro a introspección, identidad y amor.
¿Tyler, The Creator diseña ropa también?|Sí, tiene su propia marca de moda llamada *Golf Wang* y otra línea de lujo, *Golf Le Fleur*.

¿Quién es Ariana Grande?|Ariana Grande es una cantante y actriz estadounidense conocida por su poderosa voz, estilo pop-R&B y presencia escénica.
¿Cuál es el nombre completo de Ariana Grande?|Ariana Grande-Butera.
¿Dónde comenzó la carrera de Ariana?|Comenzó como actriz en Broadway y luego en la serie de Nickelodeon *Victorious* antes de lanzar su carrera musical.
¿Cuáles son los álbumes más exitosos de Ariana Grande?|“Yours Truly”, “My Everything”, “Dangerous Woman”, “Sweetener”, “Thank U, Next” y “Positions”.
¿Qué género musical canta Ariana Grande?|Principalmente pop y R&B, con elementos de trap y soul.
¿Cuáles son las canciones más famosas de Ariana Grande?|“Into You”, “No Tears Left to Cry”, “God is a Woman”, “Thank U, Next”, “7 Rings”.
¿De qué trata la canción 7 Rings?|Es una oda a la independencia financiera y la amistad, inspirada por una salida de compras tras una ruptura.
¿Ha hecho colaboraciones Ariana Grande?|Sí, con artistas como The Weeknd, Nicki Minaj, Lady Gaga, Justin Bieber y Mac Miller.
¿Ha ganado premios importantes Ariana Grande?|Sí, incluyendo Grammy, Billboard Music Awards, American Music Awards, y más.
¿De qué habla Dangerous Woman?|Sobre empoderamiento femenino, sensualidad y la confianza en uno mismo.
¿Qué temas trata Thank U, Next?|Superación emocional, madurez y gratitud hacia relaciones pasadas.

¿Quiénes son Twenty One Pilots?|Twenty One Pilots es un dúo musical estadounidense formado por Tyler Joseph y Josh Dun, conocido por su estilo ecléctico que mezcla pop, rock, rap y electrónica.
¿Cuáles son los álbumes más conocidos de Twenty One Pilots?|“Vessel”, “Blurryface”, “Trench”, “Scaled and Icy”, y el nuevo álbum “Clancy”.
¿De qué trata Blurryface?|Es un álbum conceptual sobre la inseguridad y la lucha interna, personificada en el personaje ficticio Blurryface.
¿Qué canciones famosas tiene Twenty One Pilots?|“Stressed Out”, “Ride”, “Heathens”, “Car Radio”, “Chlorine”, “Level of Concern”.
¿De qué habla Heathens?|Fue creada para la película *Suicide Squad* y habla sobre confiar en personas que parecen peligrosas o diferentes.
¿Twenty One Pilots utilizan simbolismo visual?|Sí, usan colores, máscaras, personajes y mundos ficticios como DEMA y los Banditos para representar luchas internas.
¿De qué trata Trench?|Narra una historia de escape y resistencia en una ciudad distópica, simbolizando el poder de la voluntad frente a la opresión mental.
¿Qué estilo musical tienen Twenty One Pilots?|Fusionan rock alternativo, rap, reggae, pop, electrónica y elementos industriales.
¿Han hecho giras mundiales Twenty One Pilots?|Sí, incluyendo la "Bandito Tour" y la gira “Takeover Tour”.
¿Han ganado premios Twenty One Pilots?|Sí, han ganado Grammy, AMA, Billboard Music Awards, entre otros.
¿De qué trata Car Radio?|Expresa el vacío y ansiedad que se siente al quedarse solo con los propios pensamientos en silencio.

¿Quién es Linkin Park?|Linkin Park fue una banda estadounidense de rock alternativo y nu metal, reconocida por su fusión de géneros y letras emotivas.
¿Quién fue el vocalista principal de Linkin Park?|Chester Bennington fue el vocalista principal, conocido por su voz poderosa y expresiva.
¿Cuáles son los álbumes más importantes de Linkin Park?|“Hybrid Theory”, “Meteora”, “Minutes to Midnight”, “A Thousand Suns”, “Living Things”, “The Hunting Party”, “One More Light”.
¿De qué trata In the End?|La canción trata sobre la inevitabilidad del fracaso pese al esfuerzo, con una atmósfera melancólica.
¿Qué significa Numb?|Expresa el dolor de no poder cumplir las expectativas de otros y perder la identidad propia.
¿Qué estilo musical tiene Linkin Park?|Mezclan nu metal, rap rock, electrónica, alternativo y más recientemente pop rock.
¿Con quién colaboro Linkin Park en Collision Course?|Con Jay-Z, en un exitoso EP de mashups entre ambos artistas.
¿Qué impacto tuvo Hybrid Theory?|Es uno de los álbumes debut más vendidos del siglo XXI, definió el sonido nu metal de principios de los 2000.
¿Qué ocurrió con Chester Bennington?|Falleció en 2017 por suicidio, lo cual impactó profundamente a fans y a la industria musical.
¿Linkin Park ha continuado después de Chester?|La banda ha estado en pausa desde su muerte, pero ha lanzado material conmemorativo y versiones remasterizadas.

¿Quién es Limp Bizkit?|Limp Bizkit es una banda estadounidense de nu metal conocida por su energía agresiva, letras irreverentes y fusión de rap y rock.
¿Quién es el líder de Limp Bizkit?|Fred Durst, vocalista y figura principal del grupo.
¿Cuáles son sus álbumes más conocidos de Limp Bizkit?|“Three Dollar Bill, Y'all$”, “Significant Other”, “Chocolate Starfish and the Hot Dog Flavored Water”, “Results May Vary”, “Gold Cobra”, “Still Sucks”.
¿De qué trata Break Stuff?|Habla de un día tan malo que cualquier cosa puede desatar la rabia; es un himno de catarsis agresiva.
¿Qué estilo musical tiene Limp Bizkit?|Fusionan nu metal, rap metal, funk, punk y elementos electrónicos.
¿Con qué banda rivalizó Limp Bizkit?|Tuvo conflictos mediáticos con grupos como Slipknot y Eminem en los años 2000.
¿Quién es el guitarrista conocido por su imagen extraña?|Wes Borland, famoso por su maquillaje, disfraces y enfoque experimental en la guitarra.
¿Limp Bizkit ha tenido momentos polémicos?|Sí, como su actuación en Woodstock '99, donde fueron criticados por incitar disturbios.
¿Limp Bizkit todavía están activos?|Sí, siguen presentándose en vivo y lanzaron el álbum “Still Sucks” en 2021.
¿Qué significa la canción My Way?|Habla sobre autoafirmación y romper con quienes quieren controlarte.

¿Quiénes son Gorillaz?|Gorillaz es una banda virtual británica creada por Damon Albarn y Jamie Hewlett, compuesta por personajes animados.
¿Quién compone la música de Gorillaz?|Principalmente Damon Albarn, quien también interpreta al personaje 2-D.
¿Quiénes son los personajes de Gorillaz?|2-D (voz), Murdoc (bajo), Noodle (guitarra) y Russel (batería).
¿Qué género musical hace Gorillaz?|Una mezcla de rock alternativo, electrónica, hip hop, trip hop, reggae y pop experimental.
¿Cuáles son los álbumes más conocidos de Gorillaz?|“Gorillaz”, “Demon Days”, “Plastic Beach”, “Humanz”, “The Now Now”, “Cracker Island”.
¿De qué trata Feel Good Inc.?|Una crítica a la cultura del entretenimiento superficial y la búsqueda de placer instantáneo.
¿Gorillaz ha colaborado con otros artistas?|Sí, con De La Soul, Snoop Dogg, Elton John, Robert Smith, Bad Bunny, Kali Uchis y más.
¿Qué simboliza Plastic Beach?|Una crítica ambiental al consumismo y la contaminación del planeta, representada por una isla hecha de plástico.
¿Cómo son los conciertos de Gorillaz?|Usan visuales animados, pantallas gigantes y músicos en vivo, creando una experiencia multimedia única.
¿Qué innovaciones introdujo Gorillaz?|Fue la primera banda virtual de éxito global, fusionando música, animación y narrativas visuales.

¿Quiénes son Imagine Dragons?|Imagine Dragons es una banda de rock alternativo y pop rock estadounidense, conocida por sus éxitos globales y estilo épico.
¿Cuáles son los miembros de Imagine Dragons?|Los miembros principales son Dan Reynolds (vocalista), Wayne Sermon (guitarrista), Ben McKee (bajista) y Daniel Platzman (baterista).
¿Cuáles son los álbumes más importantes de Imagine Dragons?|“Night Visions”, “Smoke + Mirrors”, “Evolve”, “Origins”, y “Mercury - Act 1”.
¿De qué trata la canción Radioactive?|“Radioactive” es una canción sobre la esperanza, la transformación y el renacimiento en un mundo apocalíptico, con un enfoque de superación personal.
¿Qué significa la canción Demons?|“Demons” habla sobre las luchas internas, las inseguridades y la aceptación de las propias debilidades.
¿Cuál es el estilo musical de Imagine Dragons?|La banda mezcla rock alternativo, indie rock, pop, electrónica y elementos de música experimental.
¿Imagine Dragons Han ganado premios importantes?|Sí, han ganado premios como el Grammy por Mejor Canción de Rock y múltiples Billboard Music Awards.
¿Qué inspira la canción Believer?|“Believer” trata sobre el poder del sufrimiento y cómo este puede ser un motor de crecimiento personal y motivación.
¿De qué trata la canción Thunder?|“Thunder” habla sobre la ambición, la lucha por alcanzar los sueños y la determinación frente a los obstáculos.
¿Cómo se caracteriza la estética de Imagine Dragons?|Su estética es épica y cinematográfica, con un enfoque visual lleno de energía y simbolismo en sus videos y presentaciones.

dime las canciones de Linkin Park
muestrame canciones de Imagine Dragons
temas que tiene the weeknd
muestrame canciones de Ariana Grande
dime las canciones de gorillaz
muestrame canciones de Limp Bizkit
muestrame canciones de Twenty One Pilots 
muestrame canciones de Lady Gaga
muestrame canciones de Tyler, the creator
muestrame canciones de Lana Del Rey 

